Address,Area,Frontage,Access Road,House direction,Balcony direction,Bedrooms,Bathrooms,Legal status,Furniture state,Price,Day,Province,District,Detail,Price_per_m2,Area_Group,Price_Segment,Latitude,Longitude
"Hà Nội, Hà Đông, Căn hộ chung cư tại Khu đô thị mới Dương Nội",84.0,6.0,10.0,Đông,Đông - Bắc,2.0,2.0,Đã có sổ,Đầy đủ,13.81,1,Hà Nội,Hà Đông,Căn hộ chung cư tại Khu đô thị mới Dương Nội,0.16,70-90 m²,>10 tỷ,21.0285,105.8542
"Hà Nội, Hà Đông, Căn hộ chung cư tại The Pride",73.0,6.0,10.0,Không xác định,Không xác định,2.0,2.0,Đã có sổ,Đầy đủ,12.0,1,Hà Nội,Hà Đông,Căn hộ chung cư tại The Pride,0.16,70-90 m²,>10 tỷ,21.0285,105.8542
"Quảng Ninh, Vân Đồn, Căn hộ chung cư tại Vân Bay Tower",70.0,6.0,10.0,Không xác định,Không xác định,3.0,2.0,Không xác định,Không xác định,1.54,1,Quảng Ninh,Vân Đồn,Căn hộ chung cư tại Vân Bay Tower,0.02,50-70 m²,<4 tỷ,21.0069,107.2925
"Hồ Chí Minh, Bình Tân, Căn hộ chung cư tại Lê Thành Tân Tạo",34.0,6.0,10.0,Không xác định,Không xác định,1.0,1.0,Hợp đồng mua bán,Không xác định,0.75,1,Hồ Chí Minh,Bình Tân,Căn hộ chung cư tại Lê Thành Tân Tạo,0.02,30-50 m²,<4 tỷ,10.7769,106.7009
"Hà Nội, Hà Đông, Căn hộ chung cư tại SDU - 143 Trần Phú",52.0,6.0,10.0,Tây - Nam,Đông - Bắc,2.0,2.0,Đã có sổ,Đầy đủ,3.95,1,Hà Nội,Hà Đông,Căn hộ chung cư tại SDU - 143 Trần Phú,0.08,50-70 m²,<4 tỷ,21.0285,105.8542
"Hà Nội, Hà Đông, Căn hộ chung cư tại Xuân Mai Sparks Tower",69.0,6.0,10.0,Đông - Bắc,Tây - Nam,2.0,2.0,Đã có sổ,Đầy đủ,4.66,1,Hà Nội,Hà Đông,Căn hộ chung cư tại Xuân Mai Sparks Tower,0.07,50-70 m²,4-6 tỷ,21.0285,105.8542
"Hà Nội, Hà Đông, Căn hộ chung cư tại CT1 Yên Nghĩa",60.0,6.0,10.0,Bắc,Nam,2.0,1.0,Đã có sổ,Đầy đủ,4.13,1,Hà Nội,Hà Đông,Căn hộ chung cư tại CT1 Yên Nghĩa,0.07,50-70 m²,4-6 tỷ,21.0285,105.8542
"Hà Nội, Hà Đông, Căn hộ chung cư tại The Sparks",56.0,6.0,10.0,Đông - Nam,Tây - Bắc,2.0,2.0,Đã có sổ,Đầy đủ,3.8,1,Hà Nội,Hà Đông,Căn hộ chung cư tại The Sparks,0.07,50-70 m²,<4 tỷ,21.0285,105.8542
"Hà Nội, Hà Đông, Căn hộ chung cư tại Khu nhà ở Hưng Thịnh",56.0,6.0,10.0,Tây - Bắc,Đông - Nam,2.0,1.0,Đã có sổ,Không xác định,3.25,1,Hà Nội,Hà Đông,Căn hộ chung cư tại Khu nhà ở Hưng Thịnh,0.06,50-70 m²,<4 tỷ,21.0285,105.8542
"Hà Nội, Hà Đông, Căn hộ chung cư tại Chung cư Sails Tower",48.0,6.0,10.0,Tây - Bắc,Đông - Nam,2.0,1.0,Đã có sổ,Đầy đủ,3.17,1,Hà Nội,Hà Đông,Căn hộ chung cư tại Chung cư Sails Tower,0.07,30-50 m²,<4 tỷ,21.0285,105.8542
