Address,Area,Frontage,Access Road,House direction,Balcony direction,Bedrooms,Bathrooms,Legal status,Furniture state,Price,Day
"Hà Nội, Hà Đông, Căn hộ chung cư tại Xuân Mai Complex",62.0,,,,,2,2,Have certificate,Full,,1
"Hà Nội, Hà Đông, Căn hộ chung cư tại Khu nhà ở Bộ tư lệnh Thủ đô Hà Nội",61.0,,,Nam,Bắc,2,2,Have certificate,Full,,1
"Hà Nội, Hà Đông, Căn hộ chung cư tại Park View Residence Dương Nội",52.0,,,Tây - Bắc,Đông - Nam,2,2,Have certificate,Full,,1
"Hà Nội, Hà Đông, Căn hộ chung cư tại The Sparks",54.0,,,,,2,2,Have certificate,Full,,1
"Hà Nội, Hà Đông, Căn hộ chung cư tại Khu nhà ở Bộ tư lệnh Thủ đô Hà Nội",80.0,,,,,2,2,Have certificate,Full,,1
"Hà Nội, Hà Đông, Căn hộ chung cư tại Khu đô thị mới Dương Nội",84.0,,,Đông,Đông - Bắc,2,2,Have certificate,Full,,1
"Hà Nội, Hà Đông, Căn hộ chung cư tại The Pride",73.0,,,,,2,2,Have certificate,Full,,1
"Quảng Ninh, Vân Đồn, Căn hộ chung cư tại Vân Bay Tower",70.0,,,,,,,,,,1
"Hồ Chí Minh, Bình Tân, Căn hộ chung cư tại Lê Thành Tân Tạo",34.0,,,,,1,1,Sale contract,,0.75,1
"Hà Nội, Hà Đông, Căn hộ chung cư tại SDU - 143 Trần Phú",52.0,,,Tây - Nam,Đông - Bắc,2,2,Have certificate,Full,3.95,1
"Hà Nội, Hà Đông, Căn hộ chung cư tại Xuân Mai Sparks Tower",69.0,,,Đông - Bắc,Tây - Nam,2,2,Have certificate,Full,4.66,1
"Hà Nội, Hà Đông, Căn hộ chung cư tại CT1 Yên Nghĩa",60.0,,,Bắc,Nam,2,1,Have certificate,Full,4.13,1
"Hà Nội, Hà Đông, Căn hộ chung cư tại The Sparks",56.0,,,Đông - Nam,Tây - Bắc,2,2,Have certificate,Full,3.8,1
"Hà Nội, Hà Đông, Căn hộ chung cư tại Khu nhà ở Hưng Thịnh",56.0,,,Tây - Bắc,Đông - Nam,2,1,Have certificate,,3.25,1
"Hà Nội, Hà Đông, Căn hộ chung cư tại Chung cư Sails Tower",48.0,,,Tây - Bắc,Đông - Nam,2,1,Have certificate,Full,3.17,1
"Hà Nội, Hà Đông, Căn hộ chung cư tại Park View Residence Dương Nội",56.0,,,Tây - Bắc,Đông - Nam,2,1,Have certificate,Full,3.75,1
"Hà Nội, Hà Đông, Căn hộ chung cư tại Khu đô thị mới Xa La",62.0,,,Tây - Bắc,Đông - Nam,2,2,Have certificate,Full,3.95,1
"Hà Nội, Thanh Trì, Căn hộ chung cư tại Greenera Southmark",124.0,,,,,,,,,12.0,1
"Hà Nội, Tây Hồ, Căn hộ chung cư tại Udic Westlake",86.0,,,Tây,Tây,2,2,Have certificate,Full,9.09,2
"Hưng Yên, Văn Giang, Căn hộ chung cư tại Alumi - Alluvia City",34.46,,,Nam,Bắc,1,1,Sale contract,Basic,2.54,3
"Hưng Yên, Văn Giang, Căn hộ chung cư tại Khu đô thị Ecopark",152.0,,,,Tây - Bắc,3,3,Have certificate,Full,14.0,3
"Hồ Chí Minh, Quận 5, Căn hộ chung cư tại Legacy 66",48.0,,,,,1,1,Sale contract,Full,5.23,3
"Hồ Chí Minh, Tân Phú, Căn hộ chung cư tại Chung cư Khuông Việt",70.0,,,,,2,2,,,3.9,3
"Khánh Hòa, Nha Trang, Căn hộ chung cư tại The Onsen",58.5,,,Đông - Nam,Tây - Bắc,1,1,Sale contract,Basic,4.65,3
"Hà Nội, Long Biên, Căn hộ chung cư tại Ruby Park",45.3,,,,,1,1,Sale contract,,2.96,1
"Hưng Yên, Văn Giang, Căn hộ chung cư tại Aqua Bay Sky Residences",158.0,,,Đông - Nam,Tây - Bắc,3,3,Have certificate,,12.0,3
"Hưng Yên, Văn Giang, Căn hộ chung cư tại Swan Lake Onsen Residences",420.0,,,Đông - Bắc,Đông - Nam,5,6,Have certificate,,41.0,3
"Bình Dương, Thủ Dầu Một, Căn hộ chung cư tại Orchard Hill - Sycamore",94.0,,,Đông - Nam,Tây - Bắc,2,2,Sale contract,Basic,5.8,3
"Bắc Giang, Bắc Giang, Căn hộ chung cư tại đường Đào Sư Tích",61.0,,,Tây - Bắc,Đông - Nam,2,2,Have certificate,Full,2.45,3
"Hà Nội, Đan Phượng, Căn hộ chung cư tại Masteri Sky Quarter",47.0,,,Tây - Nam,Đông - Bắc,3,2,Sale contract,Full,3.67,3
"Hồ Chí Minh, Thủ Đức, Căn hộ chung cư tại Diamond Sky",70.0,,,Tây - Bắc,Đông - Nam,2,2,Have certificate,Full,0.13,3
"Hồ Chí Minh, Quận 10, Căn hộ chung cư tại Thiên Nam Apartment",126.2,,,Bắc,Nam,3,3,Have certificate,Full,10.9,2
"Hà Nội, Hoài Đức, Căn hộ chung cư tại Imperia Sky Park",154.0,,,Đông - Bắc,Đông,3,2,Sale contract,,0.09,1
"Hồ Chí Minh, Thủ Đức, Căn hộ chung cư tại Urban Green",65.0,,,,,,,,,5.15,2
"Hải Phòng, Thủy Nguyên, Căn hộ chung cư tại Hoàng Huy New City",62.0,,,,,,,,,,2
"Hà Nội, Thanh Xuân, Căn hộ chung cư tại Hanoi Seasons Garden",84.7,,,,Tây - Nam,1,,,,13.1,2
"Hà Nội, Nam Từ Liêm, Căn hộ chung cư tại The Sakura - Vinhomes Smart City",77.6,,,Đông - Bắc,Tây - Nam,3,2,Have certificate,Full,6.65,2
"Hà Nội, Tây Hồ, Căn hộ chung cư tại Udic Westlake",168.0,,,Tây - Bắc,Tây - Bắc,3,2,Have certificate,Full,15.99,2
"Hà Nội, Nam Từ Liêm, Căn hộ chung cư tại The Garden",110.0,,,,,2,2,Have certificate,Full,,5
"Hà Nội, Nam Từ Liêm, Căn hộ chung cư tại The Garden",42.0,,,,Đông - Nam,1,1,Have certificate,Basic,4.8,5
"Hồ Chí Minh, Quận 11, Căn hộ chung cư tại phố Lý Thường Kiệt",36.0,,,Đông - Nam,Đông - Nam,1,,Have certificate,,1.95,5
"Hà Nội, Tây Hồ, Căn hộ chung cư tại Khu đô thị Nam Thăng Long - Ciputra",123.0,,,,,3,2,Have certificate,Full,11.2,5
"Hà Nội, Nam Từ Liêm, Căn hộ chung cư tại Imperia Smart City",55.0,,,,Đông - Nam,2,1,Have certificate,Basic,4.52,5
"Hà Nội, Hà Đông, Căn hộ chung cư tại The Pride",102.8,,,,,3,2,Have certificate,Full,,1
