Address,Area,Frontage,Access Road,House direction,Balcony direction,Bedrooms,Bathrooms,Legal status,Furniture state,Price,Day
"Hà Nội, Bắc Từ Liêm, Nhà riêng tại đường Xuân Đỉnh",42.0,,,,,,,Have certificate,,12.7,3
"Hồ Chí Minh, Bình Thạnh, Nhà riêng tại đường Xô Viết Nghệ Tĩnh",74.0,3.7,4.0,Nam,Nam,4,4,Have certificate,Basic,10.3,3
"Hà Nội, Cầu Giấy, Nhà riêng tại đường Nguyễn Đình Hoàn",40.0,4.3,3.5,,,3,5,Have certificate,Basic,18.0,3
"Quảng Ninh, Vân Đồn, Nhà riêng tại xã Quan Lạn",130.0,6.0,,Đông - Bắc,,7,,Have certificate,Full,10.0,3
"Hồ Chí Minh, Thủ Đức, Nhà riêng tại đường Hiệp Bình",48.0,4.0,5.0,,,4,4,Have certificate,Full,3.99,3
"Hồ Chí Minh, Thủ Đức, Nhà riêng tại đường Số 2",56.0,4.0,5.0,,,,,Have certificate,Basic,3.99,3
"Hồ Chí Minh, Thủ Đức, Nhà riêng tại đường Võ Văn Ngân",48.0,4.0,5.0,,,3,2,Have certificate,Basic,3.89,3
"Hồ Chí Minh, Gò Vấp, Nhà riêng tại đường Lê Đức Thọ",75.6,4.6,8.0,,,4,4,Have certificate,Full,11.0,2
"Bến Tre, Bến Tre, Nhà riêng tại đường Nguyễn Đình Chiểu",206.2,9.0,3.5,Đông,,,,Have certificate,,2.6,2
"Hà Nội, Long Biên, Nhà riêng tại đường Ái Mộ",38.4,3.5,7.0,Tây - Nam,Tây - Nam,3,4,Have certificate,,,2
"Hà Nội, Bắc Từ Liêm, Nhà riêng tại đường Cổ Nhuế",31.0,3.3,,Đông - Bắc,Đông,3,3,Have certificate,Full,7.0,2
"Quảng Nam, Tam Kỳ, Nhà riêng tại đường Tiểu La",76.4,5.58,3.0,,,3,1,Have certificate,,1.7,1
"Hồ Chí Minh, Quận 10, Nhà riêng tại đường Tô Hiến Thành",100.0,,,,,,,Have certificate,,14.8,1
"Bà Rịa Vũng Tàu, Vũng Tàu, Nhà riêng tại đường Phan Chu Trinh",100.0,9.0,4.0,Tây - Bắc,Tây - Bắc,2,3,Have certificate,Basic,8.2,1
"Hồ Chí Minh, Bình Thạnh, Nhà riêng tại đường Chu Văn An",39.5,4.0,4.0,,,4,4,Have certificate,,8.7,1
"Hồ Chí Minh, Thủ Đức, Nhà riêng tại đường Đỗ Xuân Hợp",38.0,,6.0,,,1,1,,,1.15,1
"Hồ Chí Minh, Tân Bình, Nhà riêng tại đường Phạm Văn Bạch",50.0,3.5,8.0,,,3,3,Have certificate,,7.6,5
"Hồ Chí Minh, Quận 5, Nhà riêng tại đường Trần Phú",18.0,,,,,2,1,Have certificate,,3.3,4
"Khánh Hòa, Ninh Hòa, Nhà riêng tại xã Ninh Lộc",202.0,7.0,4.0,,,,,Have certificate,,1.3,4
"Hà Nội, Tây Hồ, Nhà riêng tại đường Hoàng Hoa Thám",63.3,,,Tây - Nam,,3,3,Have certificate,,0.28,4
"Hồ Chí Minh, Quận 6, Nhà riêng tại đường Bình Tiên",15.3,3.0,2.0,,,2,1,Have certificate,,1.8,4
"Hồ Chí Minh, Quận 6, Nhà riêng tại đường Bình Tiên",15.3,3.0,2.0,,,2,1,Have certificate,,1.8,4
"Khánh Hòa, Ninh Hòa, Nhà riêng tại xã Ninh Đông",385.0,17.0,5.0,,,,,Have certificate,,3.15,4
"Khánh Hòa, Nha Trang, Nhà riêng tại xã Vĩnh Ngọc",206.0,10.0,5.0,,,,,Have certificate,,4.2,4
"Hồ Chí Minh, Thủ Đức, Nhà riêng tại đường 12",117.0,,,,,6,3,Have certificate,,10.2,4
"Hồ Chí Minh, Quận 6, Nhà riêng tại đường Bình Tiên",15.3,3.0,2.0,,,2,1,Have certificate,,1.8,4
"Hà Nội, Ba Đình, Nhà riêng tại đường Đội Cấn",105.7,,,,,,,Have certificate,,31.0,4
"Hà Nội, Gia Lâm, Nhà riêng tại đường Giáp Hải",234.0,14.0,3.0,Tây - Nam,,4,4,Have certificate,Full,30.42,3
"Hà Nội, Bắc Từ Liêm, Nhà riêng tại đường Phạm Văn Đồng",57.0,,2.4,,,9,9,Have certificate,Full,12.9,3
"Hồ Chí Minh, Thủ Đức, Nhà riêng tại đường Võ Văn Hát",45.0,,4.0,Đông - Nam,Đông - Nam,,,Have certificate,,2.49,3
"Hồ Chí Minh, Thủ Đức, Nhà riêng tại đường 8",52.0,4.0,6.0,,,4,5,Have certificate,,6.5,3
"Hồ Chí Minh, Bình Chánh, Nhà riêng tại đường Tân Liêm",200.0,6.2,,,,8,8,Have certificate,Basic,13.0,2
"Hà Nội, Cầu Giấy, Nhà riêng tại phường Quan Hoa",80.0,5.0,,,,,,Have certificate,,41.0,7
