Address,Area,Frontage,Access Road,House direction,Balcony direction,Bedrooms,Bathrooms,Legal status,Furniture state,Price,Day
"Thanh Hóa, Thanh Hóa, Nhà biệt thự, liền kề tại Heragon City",70.0,5.0,7.0,Tây - Bắc,Đông - Nam,5,5,Have certificate,,3.4,2
"Quảng Ninh, Quảng Yên, Nhà biệt thự, liền kề tại Quảng Yên Centro",85.0,5.0,,Nam,,,,Have certificate,,0.05,2
"Quảng Ninh, Quảng Yên, Nhà biệt thự, liền kề tại Vinhomes Global Gate Hạ Long",50.0,5.0,13.0,Đông - Bắc,Đông - Bắc,4,4,Sale contract,,4.77,2
"Hà Nội, Nam Từ Liêm, Nhà biệt thự, liền kề tại Khu đô thị Tây Mỗ",115.0,5.2,10.0,,,5,5,Have certificate,Full,20.3,3
"Hưng Yên, Văn Giang, Nhà biệt thự, liền kề tại Vinhomes Ocean Park 3",90.0,5.0,13.0,Tây - Bắc,,,,Sale contract,,13.4,3
"Hà Nội, Hà Đông, Nhà biệt thự, liền kề tại Sol Lake Villa",75.0,5.0,12.0,Đông - Nam,Đông - Nam,6,,Have certificate,,15.0,3
"Hà Nội, Hà Đông, Nhà biệt thự, liền kề tại Sol Lake Villa",176.0,5.0,12.0,Đông - Bắc,Đông - Nam,6,7,Have certificate,Basic,31.5,3
"Hưng Yên, Văn Giang, Nhà biệt thự, liền kề tại Vinhomes Ocean Park 3",126.0,,,,,,,Sale contract,,0.13,3
"Hà Nội, Hoàng Mai, Nhà biệt thự, liền kề tại Khu đô thị mới Đại Kim - Định Công",90.0,6.0,12.0,,,,,,,,3
"Bắc Ninh, Từ Sơn, Nhà biệt thự, liền kề tại Centa Riverside",480.0,16.0,25.0,Nam,Nam,,,Have certificate,Basic,69.0,3
"Bắc Ninh, Từ Sơn, Nhà biệt thự, liền kề tại Centa Riverside",225.0,10.0,61.0,,,,,,,18.36,3
"Bắc Ninh, Từ Sơn, Nhà biệt thự, liền kề tại Centa Riverside",225.0,10.0,61.0,,,,,Have certificate,,18.56,3
