Address,Area,Frontage,Access Road,House direction,Balcony direction,Bedrooms,Bathrooms,Legal status,Furniture state,Price,Day
"Quảng Ninh, Vân Đồn, Nhà mặt phố tại xã Quan Lạn",132.8,6.0,7.5,Đông - Bắc,,7,8,Have certificate,Full,10.0,3
"Vĩnh Phúc, Vĩnh Yên, Nhà mặt phố tại đường Mê Linh",90.0,4.5,40.0,Nam,Nam,6,3,Have certificate,Full,16.5,2
"Hồ Chí Minh, Tân Bình, Nhà mặt phố tại đường Hoàng Hoa Thám",75.0,15.0,,,,2,3,Have certificate,,21.5,2
"Đắk Lắk, Buôn Ma Thuột, Nhà mặt phố tại đường Nguyễn Viết Xuân",240.0,5.5,,Tây,Tây,,,Have certificate,,15.8,2
"Quảng Ninh, Hạ Long, Nhà mặt phố tại đường Lê Thánh Tông",32.0,,,,,,,,,12.5,2
"Hồ Chí Minh, Quận 12, Nhà mặt phố tại đường Lê Thị Riêng",80.0,,,,,,,Have certificate,,12.8,1
"Long An, Cần Giuộc, Nhà mặt phố tại đường ĐT 826C",453.0,11.1,,,,6,4,Have certificate,,26.0,1
"Khánh Hòa, Nha Trang, Nhà mặt phố tại đường Tỉnh lộ 3",470.0,6.23,18.0,Đông - Bắc,,2,1,Have certificate,,4.2,1
"Cần Thơ, Ninh Kiều, Nhà mặt phố tại đường 3/2",194.1,6.54,40.0,,,2,2,Have certificate,Basic,,5
"Quảng Bình, Đồng Hới, Nhà mặt phố tại đường Trần Hưng Đạo",232.0,8.0,,Bắc,,5,3,Have certificate,Full,32.0,1
"Quảng Nam, Duy Xuyên, Nhà mặt phố tại đường Quốc lộ 14H",179.0,9.0,10.0,,,,,Have certificate,,5.6,5
"Hà Nội, Thanh Xuân, Nhà mặt phố tại phố Hạ Đình",120.0,4.3,14.0,,,2,2,Have certificate,Basic,27.0,8
"Hồ Chí Minh, Tân Bình, Nhà mặt phố tại đường Nguyễn Trọng Tuyển",51.0,3.9,8.0,Đông - Bắc,Đông - Bắc,6,5,Have certificate,Basic,13.0,8
"Hà Nội, Thanh Xuân, Nhà mặt phố tại đường Vương Thừa Vũ",88.0,4.6,18.0,,,4,4,Have certificate,Basic,42.0,8
"Hà Nội, Cầu Giấy, Nhà mặt phố tại phố Doãn Kế Thiện",55.0,3.6,21.0,Bắc,Bắc,7,4,Have certificate,Full,22.9,2
"Hà Nội, Cầu Giấy, Nhà mặt phố tại phố Trung Kính",160.0,6.4,40.0,,,2,2,Have certificate,,130.0,8
"Hồ Chí Minh, Bình Thạnh, Nhà mặt phố tại đường Bạch Đằng",140.0,3.5,30.0,Đông,Đông,1,1,Have certificate,,23.0,8
"Hồ Chí Minh, Quận 4, Nhà mặt phố tại đường Xóm Chiếu",141.0,5.2,7.0,Đông - Nam,Đông - Nam,8,9,Have certificate,,32.0,8
"Hà Nội, Đống Đa, Nhà mặt phố tại đường Đặng Tiến Đông",65.0,4.0,8.0,,,4,4,Have certificate,,41.0,8
"Hà Nội, Thanh Xuân, Nhà mặt phố tại phố Hạ Đình",68.0,5.2,18.0,,,6,5,Have certificate,,30.0,8
"Bình Dương, Thủ Dầu Một, Nhà mặt phố tại Khu dân cư Phú Hòa",200.0,10.0,,,,4,2,Have certificate,Basic,12.5,7
"Hồ Chí Minh, Quận 6, Nhà mặt phố tại đường Bến Phú Lâm",99.7,6.2,,,,,,Have certificate,,13.0,7
"Lâm Đồng, Di Linh, Nhà mặt phố tại đường Phan Bội Châu",219.0,,,,,3,2,Have certificate,,3.45,6
"Ninh Thuận, Ninh Phước, Nhà mặt phố tại đường Tỉnh Lộ 710",548.0,11.47,10.0,,,1,1,Have certificate,,1.28,6
"Bình Thuận, Bắc Bình, Nhà mặt phố tại thị trấn Chợ Lầu",144.0,3.61,20.0,,Nam,2,2,Have certificate,Full,2.5,6
"Bình Thuận, Phan Thiết, Nhà mặt phố tại phường Phú Thủy",173.32,4.4,12.0,,,,,Have certificate,Full,19.98,6
"Lâm Đồng, Đà Lạt, Nhà mặt phố tại đường Huỳnh Thúc Kháng",787.0,17.0,8.0,Tây - Nam,,,,Have certificate,Full,85.0,6
"Hồ Chí Minh, Quận 2, Nhà mặt phố tại Khu dân cư Thạnh Mỹ Lợi",160.0,20.0,20.0,Tây - Bắc,,,,Have certificate,,115.0,6
"Hà Nội, Long Biên, Nhà mặt phố tại đường Đức Giang",140.0,6.5,15.0,Tây - Bắc,Nam,7,7,Have certificate,Basic,46.5,6
"Hồ Chí Minh, Phú Nhuận, Nhà mặt phố tại đường Nguyễn Trọng Tuyển",365.0,,,,,12,12,Have certificate,,160.0,5
"Hồ Chí Minh, Quận 8, Nhà mặt phố tại đường An Dương Vương",405.0,9.0,40.0,Tây,Tây,,,Have certificate,,45.0,5
"Quảng Ninh, Hạ Long, Nhà mặt phố tại đường Vườn Đào",52.0,4.0,16.0,,,12,13,Have certificate,Full,7.5,11
"Cà Mau, Cà Mau, Nhà mặt phố tại đường Trần Hưng Đạo",223.0,5.5,,,,,,Have certificate,Full,23.0,11
"Nam Định, Nam Định, Nhà mặt phố tại đường Quang Trung",54.0,5.5,20.0,Đông - Nam,Đông - Nam,2,2,Have certificate,,18.0,11
"Hà Nội, Nam Từ Liêm, Nhà mặt phố tại đường Lương Thế Vinh",85.0,6.0,30.0,Đông - Bắc,Đông - Bắc,5,5,Have certificate,Basic,40.0,11
"Hồ Chí Minh, Quận 2, Nhà mặt phố tại An Phú - An Khánh",80.0,4.0,30.0,,,4,4,Have certificate,,23.5,11
