Address,Area,Frontage,Access Road,House direction,Balcony direction,Bedrooms,Bathrooms,Legal status,Furniture state,Price,Day
"Bắc Ninh, Từ Sơn, Shophouse, nhà phố thương mại tại đường Nguyễn Văn Cừ",100.0,5.0,40.0,Bắc,Bắc,4,4,Have certificate,,11.5,6
"Hà Nội, Đông Anh, Shophouse, nhà phố thương mại tại Vinhomes Global Gate",85.0,,,,,,,Have certificate,,39.0,5
"Quảng Ninh, Hạ Long, Shophouse, nhà phố thương mại tại Sora Bay Hạ Long",120.0,,,,,,,Have certificate,,15.0,5
"Phú Thọ, Việt Trì, Shophouse, nhà phố thương mại tại đường Lạc Long Quân",98.0,7.0,32.0,,,,,Have certificate,,9.0,15
"Hồ Chí Minh, Quận 2, Shophouse, nhà phố thương mại tại Diamond Island",933.0,,,,,,,Sale contract,Basic,112.0,15
"Hồ Chí Minh, Quận 2, Shophouse, nhà phố thương mại tại Diamond Island",215.0,,,,,,,Sale contract,Basic,32.0,15
"Đồng Nai, Biên Hòa, Shophouse, nhà phố thương mại tại Izumi Canaria",114.0,6.0,33.0,Tây - Nam,Đông - Bắc,,,Sale contract,,10.3,13
"Hà Nội, Đan Phượng, Shophouse, nhà phố thương mại tại Vinhomes Wonder City",120.0,8.0,17.0,Đông - Nam,Đông - Nam,8,8,Sale contract,,23.5,12
"Vĩnh Phúc, Phúc Yên, Shophouse, nhà phố thương mại tại Khu đô thị mới phường Xuân Hòa",100.0,5.0,16.0,Đông - Nam,,,,,,4.3,11
"Vĩnh Phúc, Phúc Yên, Shophouse, nhà phố thương mại tại Khu đô thị mới Xuân Hòa",98.0,5.0,21.0,Tây - Nam,Bắc,,,Have certificate,,0.05,11
"Hồ Chí Minh, Quận 7, Shophouse, nhà phố thương mại tại Phú Mỹ Hưng",320.0,11.8,20.0,,,,,Have certificate,,34.0,11
"Hải Phòng, Thủy Nguyên, Shophouse, nhà phố thương mại tại Emerald Symphony",80.0,,,Nam,,,,Have certificate,,8.4,4
"Hải Phòng, Thủy Nguyên, Shophouse, nhà phố thương mại tại Emerald Symphony",90.0,,,Nam,,,,Have certificate,,8.57,4
"Hà Nội, Nam Từ Liêm, Shophouse, nhà phố thương mại tại FLC Premier Parc Đại Mỗ",96.0,,,,,,,Sale contract,,,10
"Hải Phòng, Dương Kinh, Shophouse, nhà phố thương mại tại Vinhomes Golden City",112.5,7.0,,Tây - Bắc,,,,Sale contract,,10.06,9
"Hải Phòng, Thủy Nguyên, Shophouse, nhà phố thương mại tại Vinhomes Royal Island",90.0,,,Đông,,,,Sale contract,,10.8,9
"Đắk Lắk, Buôn Ma Thuột, Shophouse, nhà phố thương mại tại Khu đô thị Ân Phú",100.0,5.0,30.0,,,4,3,Have certificate,,6.39,9
"Hà Nội, Hà Đông, Shophouse, nhà phố thương mại tại Khu đô thị Thanh Hà Mường Thanh",300.0,10.0,50.0,,,9,9,Have certificate,Full,0.18,8
"Đà Nẵng, Sơn Trà, Shophouse, nhà phố thương mại tại Sun Ponte Residence Đà Nẵng",238.0,7.0,7.0,Đông,Đông,,,Sale contract,,16.0,8
"Hà Nội, Nam Từ Liêm, Shophouse, nhà phố thương mại tại The Sakura - Vinhomes Smart City",78.0,,,,,,,Have certificate,,22.0,8
"Hà Nội, Nam Từ Liêm, Shophouse, nhà phố thương mại tại The Sapphire-Vinhomes Smart City",54.0,,,,,,,Have certificate,,16.5,8
"Hà Nội, Nam Từ Liêm, Shophouse, nhà phố thương mại tại The Sapphire-Vinhomes Smart City",34.7,,,,,,,Have certificate,,9.5,8
"Hà Nội, Nam Từ Liêm, Shophouse, nhà phố thương mại tại Vinhomes Smart City",43.0,,,,,,,,,8.8,7
"Hải Phòng, Ngô Quyền, Shophouse, nhà phố thương mại tại Vincom Shophouse Lê Thánh Tông",80.0,6.0,,Tây - Bắc,Tây - Bắc,7,4,Have certificate,Basic,18.0,18
"Bắc Ninh, Từ Sơn, Shophouse, nhà phố thương mại tại Centa Riverside",120.0,6.0,16.0,Nam,,,,,,7.8,17
"Bắc Ninh, Từ Sơn, Shophouse, nhà phố thương mại tại Vietsing Square",75.0,5.0,17.0,Tây,,,,Sale contract,,6.1,17
"Bắc Ninh, Từ Sơn, Shophouse, nhà phố thương mại tại Vietsing Square",75.0,5.0,17.0,,,,,Have certificate,,7.3,17
"Bắc Ninh, Từ Sơn, Shophouse, nhà phố thương mại tại Khu đô thị mới Phù Khê",100.0,5.0,33.0,Bắc,,,,Have certificate,,12.0,17
"Hồ Chí Minh, Quận 2, Shophouse, nhà phố thương mại tại La Astoria",256.0,,,,,2,2,Sale contract,,12.54,17
"Hà Nội, Hoàng Mai, Shophouse, nhà phố thương mại tại HH2 Linh Đàm",45.0,5.0,,Nam,,,1,Sale contract,Full,8.5,22
