Address,Area,Frontage,Access Road,House direction,Balcony direction,Bedrooms,Bathrooms,Legal status,Furniture state,Price,Day
"Hà Tĩnh, Đức Thọ, Đất nền dự án tại ROX Living Đức Thọ",180.0,,,,,,,Have certificate,,,1
"Hà Nam, Phủ Lý, Đất nền dự án tại Khu đô thị bờ đông sông Đáy",81.0,5.0,16.0,Tây,,,,Have certificate,,3.0,1
"Hà Tĩnh, Đức Thọ, Đất nền dự án tại ROX Living Đức Thọ",120.0,,,,,,,Have certificate,,,1
"Hải Dương, Hải Dương, Đất nền dự án tại Phú Quý Golden Land",300.0,12.0,15.5,Tây - Nam,,,,Have certificate,,0.04,1
"Hải Dương, Hải Dương, Đất nền dự án tại Phú Quý Golden Land",85.5,4.5,15.5,Đông - Bắc,,,,Have certificate,,0.04,1
"Hải Dương, Hải Dương, Đất nền dự án tại Phú Quý Golden Land",85.5,4.5,15.5,Tây - Bắc,,,,Have certificate,,0.05,1
"Hà Nam, Phủ Lý, Đất nền dự án tại Khu đô thị bờ đông sông Đáy",75.0,5.0,16.0,Tây,,,,Have certificate,,2.75,1
"Quảng Ninh, Vân Đồn, Đất nền dự án tại Khu đô thị Phương Đông",87.5,5.0,32.0,Tây - Bắc,,,,Have certificate,,0.04,6
"Quảng Ninh, Vân Đồn, Đất nền dự án tại Khu đô thị Thống Nhất Vân Đồn",94.0,5.0,7.5,Đông - Bắc,,,,Have certificate,,0.04,6
"Hà Nội, Phú Xuyên, Đất nền dự án tại KĐT Inoha City Phú Xuyên",90.0,,,,,,,,,,5
"Hòa Bình, Lương Sơn, Đất nền dự án tại Phương Đông Green Valley",114.0,6.0,24.0,Tây,,,,Have certificate,,1.95,5
"Quảng Ninh, Uông Bí, Đất nền dự án tại Khu đô thị Licogi 18.1",100.0,5.0,24.0,,,,,Have certificate,,2.4,5
"Long An, Đức Hòa, Đất nền dự án tại Khu đô thị Daresco",100.0,5.0,16.0,Đông - Nam,,,,Have certificate,,0.01,2
"Quảng Nam, Điện Bàn, Đất nền dự án tại Khu đô thị số 4",171.5,7.0,7.5,Nam,,,,Have certificate,,3.57,4
"Bắc Ninh, Yên Phong, Đất nền dự án tại Yên Phong Gateway",115.0,5.0,14.0,,,,,Have certificate,,3.55,4
